x,y
1.000000000000000000e+00,0.000000000000000000e+00
1.049526508365445476e+00,-5.992449270065591804e-03
1.098929410677003560e+00,-1.279992582123101741e-02
1.148005633072752607e+00,-2.176144770592269850e-02
1.197081855468501876e+00,-3.072296959061437960e-02
1.246158077864250924e+00,-3.968449147530606069e-02
1.295234300260000193e+00,-4.864601335999774179e-02
1.344354660901602605e+00,-5.731649873491617697e-02
1.393881169267048081e+00,-6.330894800498176878e-02
1.441916154263334304e+00,-7.467141308522418086e-02
1.487438878013474186e+00,-9.507891419377001441e-02
1.532113752732367606e+00,-1.172347367703499010e-01
1.576326114169790404e+00,-1.403442926997380269e-01
1.623701273301707548e+00,-1.557885307242536932e-01
1.671345714352856726e+00,-1.705801403746742828e-01
1.718990155404005904e+00,-1.853717500250944283e-01
1.766634596455155082e+00,-2.001633596755150180e-01
1.814279037506304260e+00,-2.149549693259356076e-01
1.861923478557453659e+00,-2.297465789763561972e-01
1.909567919608602837e+00,-2.445381886267763427e-01
1.957212360659752015e+00,-2.593297982771969323e-01
2.004856801710900971e+00,-2.741214079276175219e-01
2.052501242762050371e+00,-2.889130175780381116e-01
2.100145683813199327e+00,-3.037046272284582571e-01
2.147790124864348726e+00,-3.184962368788788467e-01
2.195434565915498126e+00,-3.332878465292994363e-01
2.242935958913184535e+00,-3.484580845394731341e-01
2.288458682663324417e+00,-3.688655856480189676e-01
2.332474751189345774e+00,-3.919556590596644519e-01
2.373591104064122881e+00,-4.202086236015261100e-01
2.414707456938899099e+00,-4.484615881433873241e-01
2.455823809813676206e+00,-4.767145526852489823e-01
2.489979068396598549e+00,-5.128650713645792614e-01
2.523170649783918584e+00,-5.501089084941734875e-01
2.556362231171238619e+00,-5.873527456237681577e-01
2.587362380033946696e+00,-6.263246551102641391e-01
2.615839956581028858e+00,-6.672857599919925775e-01
2.644317533128110576e+00,-7.082468648737205719e-01
2.673603204066321126e+00,-7.482911643029503956e-01
2.717815565503744146e+00,-7.714007202323385215e-01
2.762027926941167166e+00,-7.945102761617266474e-01
2.806240288378590186e+00,-8.176198320911152173e-01
2.850452649816012762e+00,-8.407293880205028991e-01
2.894665011253435782e+00,-8.638389439498914690e-01
2.941880010656671374e+00,-8.796713431388205606e-01
2.989524451707820774e+00,-8.944629527892407062e-01
3.037168892758969729e+00,-9.092545624396608517e-01
3.085698914604268595e+00,-9.191964422604517182e-01
3.135496248858554935e+00,-9.221981051818524122e-01
3.185293583112841276e+00,-9.251997681032531062e-01
3.235090917367127616e+00,-9.282014310246538003e-01
3.280622939761429713e+00,-9.078448523302626860e-01
3.326145663511569595e+00,-8.874373512217168525e-01
3.371668387261709476e+00,-8.670298501131714630e-01
3.417191111011849358e+00,-8.466223490046256295e-01
3.462713834761989240e+00,-8.262148478960802400e-01
3.501585511961275987e+00,-7.954750794295346594e-01
3.538384148394257078e+00,-7.618949045118204033e-01
